id,transaction_date,description,merchant,kind,category,amount,currency
393,2025-10-11,Food order,Cafe Coffee Day,expense,dining,1056.53,INR
394,2025-10-12,Online shopping,Flipkart,expense,shopping,1038.61,INR
395,2025-10-13,Grocery purchase,Reliance Fresh,expense,groceries,2642.2,INR
396,2025-10-13,Food order,Cafe Coffee Day,expense,dining,261.92,INR
397,2025-10-13,Food order,Zomato,expense,dining,819.34,INR
398,2025-10-14,Daily commute,IndianOil,expense,transport,925.06,INR
399,2025-10-15,Grocery purchase,DMart,expense,groceries,1588.2,INR
400,2025-10-15,Daily commute,Uber,expense,transport,719.63,INR
401,2025-10-16,Daily commute,Uber,expense,transport,224.78,INR
402,2025-10-17,Online shopping,Flipkart,expense,shopping,2593.93,INR
403,2025-10-18,Internet + mobile recharge,Airtel,expense,utilities,1465.0,INR
404,2025-10-19,Daily commute,Ola,expense,transport,841.85,INR
405,2025-10-21,Entertainment subscription,BookMyShow,expense,entertainment,1120.85,INR
406,2025-10-22,Grocery purchase,Reliance Fresh,expense,groceries,2483.36,INR
407,2025-10-22,Daily commute,IndianOil,expense,transport,934.08,INR
408,2025-10-24,Daily commute,Ola,expense,transport,705.34,INR
409,2025-10-25,Grocery purchase,Reliance Fresh,expense,groceries,1248.71,INR
410,2025-10-25,Food order,Zomato,expense,dining,1069.83,INR
411,2025-10-26,Grocery purchase,DMart,expense,groceries,1077.86,INR
412,2025-10-26,Daily commute,Ola,expense,transport,440.45,INR
413,2025-10-26,Online shopping,Amazon,expense,shopping,1585.46,INR
414,2025-10-26,Online shopping,Amazon,expense,shopping,1128.94,INR
415,2025-10-27,Grocery purchase,DMart,expense,groceries,1812.82,INR
416,2025-10-28,Daily commute,Uber,expense,transport,934.04,INR
417,2025-10-28,Daily commute,Ola,expense,transport,156.23,INR
418,2025-10-28,Daily commute,Ola,expense,transport,202.76,INR
419,2025-11-01,Monthly salary credit,Employer Pvt Ltd,income,salary,90307.0,INR
420,2025-11-01,Daily commute,IndianOil,expense,transport,838.01,INR
421,2025-11-03,House rent payment,House Owner,expense,rent,24811.0,INR
422,2025-11-03,Entertainment subscription,Netflix,expense,entertainment,953.91,INR
423,2025-11-05,Daily commute,IndianOil,expense,transport,200.65,INR
424,2025-11-06,Grocery purchase,BigBasket,expense,groceries,1488.06,INR
425,2025-11-06,Food order,Swiggy,expense,dining,314.8,INR
426,2025-11-08,Electricity bill,TANGEDCO,expense,utilities,1789.0,INR
427,2025-11-08,Entertainment subscription,BookMyShow,expense,entertainment,923.94,INR
428,2025-11-08,Learning subscription,Coursera,expense,education,1507.27,INR
429,2025-11-09,Food order,Swiggy,expense,dining,442.11,INR
430,2025-11-10,Grocery purchase,DMart,expense,groceries,1143.79,INR
431,2025-11-10,Daily commute,Uber,expense,transport,623.86,INR
432,2025-11-10,Daily commute,Ola,expense,transport,740.41,INR
433,2025-11-10,Food order,Cafe Coffee Day,expense,dining,1067.8,INR
434,2025-11-12,Grocery purchase,DMart,expense,groceries,1153.01,INR
435,2025-11-12,Daily commute,Uber,expense,transport,648.39,INR
436,2025-11-12,Daily commute,IndianOil,expense,transport,229.07,INR
437,2025-11-12,Online shopping,Amazon,expense,shopping,2996.9,INR
438,2025-11-13,Grocery purchase,Reliance Fresh,expense,groceries,700.64,INR
439,2025-11-13,Grocery purchase,DMart,expense,groceries,1293.55,INR
440,2025-11-13,Entertainment subscription,BookMyShow,expense,entertainment,565.14,INR
441,2025-11-14,Grocery purchase,DMart,expense,groceries,1037.73,INR
442,2025-11-16,Online shopping,Amazon,expense,shopping,2792.32,INR
443,2025-11-18,Internet + mobile recharge,Airtel,expense,utilities,2019.0,INR
444,2025-11-18,Food order,Zomato,expense,dining,721.47,INR
445,2025-11-18,Medical expense,Apollo Pharmacy,expense,healthcare,1373.27,INR
446,2025-11-18,Learning subscription,Udemy,expense,education,2038.99,INR
447,2025-11-19,Online shopping,Flipkart,expense,shopping,3542.94,INR
448,2025-11-20,Daily commute,IndianOil,expense,transport,532.28,INR
449,2025-11-20,Daily commute,Ola,expense,transport,682.54,INR
450,2025-11-21,Daily commute,IndianOil,expense,transport,152.72,INR
451,2025-11-22,Online shopping,Myntra,expense,shopping,2987.66,INR
452,2025-11-24,Daily commute,IndianOil,expense,transport,685.11,INR
453,2025-11-25,Daily commute,IndianOil,expense,transport,928.09,INR
454,2025-11-26,Daily commute,Ola,expense,transport,147.69,INR
455,2025-11-26,Food order,Swiggy,expense,dining,657.7,INR
456,2025-11-26,Medical expense,Practo,expense,healthcare,381.32,INR
457,2025-11-27,Grocery purchase,DMart,expense,groceries,1380.14,INR
458,2025-11-27,Food order,Zomato,expense,dining,1166.73,INR
459,2025-11-28,Grocery purchase,Reliance Fresh,expense,groceries,918.16,INR
460,2025-12-01,Monthly salary credit,Employer Pvt Ltd,income,salary,105213.0,INR
461,2025-12-01,Daily commute,Uber,expense,transport,773.04,INR
462,2025-12-01,Entertainment subscription,Netflix,expense,entertainment,464.63,INR
463,2025-12-02,Grocery purchase,Reliance Fresh,expense,groceries,2790.43,INR
464,2025-12-03,House rent payment,House Owner,expense,rent,23475.0,INR
465,2025-12-04,Grocery purchase,BigBasket,expense,groceries,556.57,INR
466,2025-12-04,Grocery purchase,BigBasket,expense,groceries,1001.78,INR
467,2025-12-04,Food order,Cafe Coffee Day,expense,dining,1063.78,INR
468,2025-12-04,Online shopping,Flipkart,expense,shopping,2364.2,INR
469,2025-12-05,Food order,Cafe Coffee Day,expense,dining,182.89,INR
470,2025-12-05,Entertainment subscription,Netflix,expense,entertainment,557.6,INR
471,2025-12-05,Medical expense,Practo,expense,healthcare,1533.69,INR
472,2025-12-07,Daily commute,Ola,expense,transport,489.1,INR
473,2025-12-07,Daily commute,IndianOil,expense,transport,650.78,INR
474,2025-12-07,Daily commute,Uber,expense,transport,808.75,INR
475,2025-12-08,Electricity bill,TANGEDCO,expense,utilities,2529.0,INR
476,2025-12-08,Daily commute,Ola,expense,transport,202.46,INR
477,2025-12-08,Daily commute,Uber,expense,transport,773.19,INR
478,2025-12-09,Daily commute,Uber,expense,transport,692.93,INR
479,2025-12-09,Daily commute,Uber,expense,transport,923.61,INR
480,2025-12-12,Grocery purchase,DMart,expense,groceries,2681.04,INR
481,2025-12-14,Grocery purchase,DMart,expense,groceries,682.7,INR
482,2025-12-15,Learning subscription,Coursera,expense,education,415.57,INR
483,2025-12-16,Daily commute,IndianOil,expense,transport,458.74,INR
484,2025-12-16,Learning subscription,Udemy,expense,education,1109.92,INR
485,2025-12-18,Internet + mobile recharge,Airtel,expense,utilities,1736.0,INR
486,2025-12-18,Grocery purchase,BigBasket,expense,groceries,1363.32,INR
487,2025-12-18,Food order,Swiggy,expense,dining,778.11,INR
488,2025-12-18,Food order,Zomato,expense,dining,994.48,INR
489,2025-12-20,Online shopping,Amazon,expense,shopping,3190.8,INR
490,2025-12-21,Daily commute,Ola,expense,transport,170.26,INR
491,2025-12-22,Daily commute,Ola,expense,transport,571.91,INR
492,2025-12-23,Grocery purchase,DMart,expense,groceries,1434.95,INR
493,2025-12-24,Grocery purchase,DMart,expense,groceries,813.13,INR
494,2025-12-24,Medical expense,Apollo Pharmacy,expense,healthcare,1421.55,INR
495,2025-12-25,Online shopping,Flipkart,expense,shopping,2398.98,INR
496,2025-12-26,Entertainment subscription,Netflix,expense,entertainment,788.44,INR
497,2025-12-27,Food order,Swiggy,expense,dining,515.13,INR
498,2025-12-28,Daily commute,Ola,expense,transport,196.09,INR
499,2025-12-28,Food order,Swiggy,expense,dining,1187.28,INR
500,2025-12-28,Online shopping,Myntra,expense,shopping,2429.37,INR
501,2026-01-01,Monthly salary credit,Employer Pvt Ltd,income,salary,93537.0,INR
502,2026-01-03,House rent payment,House Owner,expense,rent,25016.0,INR
503,2026-01-03,Grocery purchase,BigBasket,expense,groceries,1206.96,INR
504,2026-01-04,Daily commute,IndianOil,expense,transport,733.2,INR
505,2026-01-04,Food order,Cafe Coffee Day,expense,dining,697.56,INR
506,2026-01-05,Grocery purchase,BigBasket,expense,groceries,746.55,INR
507,2026-01-05,Food order,Cafe Coffee Day,expense,dining,671.83,INR
508,2026-01-08,Electricity bill,TANGEDCO,expense,utilities,2658.0,INR
509,2026-01-09,Daily commute,Ola,expense,transport,911.48,INR
510,2026-01-09,Entertainment subscription,BookMyShow,expense,entertainment,425.39,INR
511,2026-01-09,Online shopping,Myntra,expense,shopping,3320.92,INR
512,2026-01-10,Food order,Cafe Coffee Day,expense,dining,498.7,INR
513,2026-01-10,Travel booking,MakeMyTrip,expense,travel,4665.31,INR
514,2026-01-11,Daily commute,Ola,expense,transport,379.39,INR
515,2026-01-11,Online shopping,Flipkart,expense,shopping,522.59,INR
516,2026-01-13,Daily commute,Ola,expense,transport,725.58,INR
517,2026-01-13,Online shopping,Amazon,expense,shopping,1024.94,INR
518,2026-01-14,Daily commute,Ola,expense,transport,857.12,INR
519,2026-01-14,Daily commute,Ola,expense,transport,806.76,INR
520,2026-01-14,Food order,Cafe Coffee Day,expense,dining,232.48,INR
